id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4KYPfZpN9haysWIStzfr3k,Caminito - Remasterizado,5,121920,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1927-05-14,0.617,0.135,6,-18.764,1,0.148,0.992,0.00034,0.0978,0.641,141.521,4
0wwyjolxUZ5GEYghs8XHwi,Lo Han Visto Con Otra - Remasterizado,0,149613,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1928-05-14,0.725,0.173,3,-18.364,0,0.105,0.99,0.00823,0.155,0.726,125.855,4
1HZiHEA6MVMCSzEE2VlV4j,Aquel tapado de armino,4,146253,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1930-08-18,0.717,0.153,5,-13.439,0,0.144,0.983,0.00992,0.114,0.456,127.816,4
6MdjSQPkhUnlkP0yptEmbF,Volvió Una Noche,28,182320,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.452,0.253,2,-8.107,1,0.0733,0.947,0.000202,0.252,0.553,169.419,3
6fyDrjv9BKI39ZqvjHOflO,Anclao En París,26,131893,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.697,0.439,3,-10.475,1,0.307,0.936,0.00393,0.307,0.747,122.363,3
4Aeus4U3EiGtUF9cyempfd,Soy Una Fiera,24,146240,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.595,0.386,8,-11.447,1,0.328,0.995,0.493,0.232,0.852,177.603,4
0z12YPLzCh2yZgwT6OGhjn,Tomo Y Obligo,23,132453,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.722,0.403,1,-9.57,0,0.166,0.985,2.95e-06,0.0902,0.818,118.492,4
4Mi13CyZHas82GRNnOJSlS,Leguisamo Solo,20,144987,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.676,0.384,3,-9.767,1,0.343,0.991,0.000409,0.0905,0.845,143.235,4
3yV2E0ioIyFbaYsERldacn,Me Da Pena Confesarlo,18,153680,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.714,0.256,5,-11.366,1,0.115,0.988,1.7e-06,0.102,0.642,121.485,4
6113McC3tLeOTtkzVrGACm,Como Abrazado A Un Rencor,16,165520,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1931-01-01,0.705,0.258,4,-12.017,1,0.4,0.976,0.0,0.0771,0.663,81.614,5
