track_id,track_name,artist,artist_id,album,album_cover_url,album_release_date,duration_ms,explicit,added_at
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,By the Way (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4,2002-07-09,269000,False,2026-03-30 13:21:20+00:00
4iz9lGMjU1lXS51oPmUmTe,Homecoming,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,2007-09-11,203493,True,2026-03-30 13:06:31+00:00
5XMjXjwCkJVmk0AHm7z8IV,Jerk It Out,Caesars,4rGrN4XDYhP6dUAZMvcuHr,Love For The Streets,https://i.scdn.co/image/ab67616d0000b27346ed4ae9343359e5965baf7b,2002,195666,False,2026-03-30 13:06:27+00:00
2GLuySrwHVBonaxKvbZ3jw,"Burgher, Commoner and Lord",Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,2025-02-18,98979,True,2026-03-26 13:22:45+00:00
6cwcAyBhAbKrfxFqwjVvym,"Fistcuffs, then Gallop",Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,2025-02-18,126466,False,2026-03-26 03:15:41+00:00
50aJSsTHwLsHqiKyRgXFkZ,Nebakov March,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,2025-02-18,90000,False,2026-03-26 03:08:58+00:00
3jHDoarqvvcmhVENcxnpYk,Pastoral,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,2025-02-18,145000,False,2026-03-26 03:03:57+00:00
6yV3akSoxxh006bFLHPfVW,#voyuitwaaien - SUPER slowed -pitch,latex fruit,0z4JJQNc7OeNno0DR6uG4i,#voyuitwaaien Remixes,https://i.scdn.co/image/ab67616d0000b2737afc09e7873c32344780a23a,2025-03-13,114091,False,2026-03-14 16:12:36+00:00
7tBfGvT74zlqZ8RHQkBSz0,FALL FROM THE SKY PT. 2,RomancePlanet,37wN6xD9duyyxRWmObUUxE,FALL FROM THE SKY PT. 2,https://i.scdn.co/image/ab67616d0000b273136e04f01c2236dfb55ea05a,2025-04-18,97072,False,2026-03-14 15:08:52+00:00
6uZm4IvkJPbETKFOjRhr1c,I Want Things to Be Beautiful,Devi McCallion,6i1PYODUPDYMtaK8QCGE9I,I Want Things to Be Beautiful,https://i.scdn.co/image/ab67616d0000b273653d899366e0490989d0d131,2025-01-31,106860,False,2026-03-14 14:55:13+00:00
4MOP8pTKd957TkMoNRdWFW,I'm Watching You (So Many Times),Gadjo,28ZtvtD63uuc4Lf81lYWmr,I'm Watching You (So Many Times),https://i.scdn.co/image/ab67616d0000b273a752b6bdac89b62f2e6029c4,2021-12-10,161500,False,2026-03-13 10:58:58+00:00
7iee007QypdrTXbLVF5KuF,Love Generation - Edit,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Love Generation (Edit),https://i.scdn.co/image/ab67616d0000b273522b4cb1dd67178f9d10f15e,2005-06-20,204105,False,2026-03-13 10:41:59+00:00
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7,2001,307153,False,2026-03-13 10:32:17+00:00
6KzkqZqhUBEsWYJJa2aBOd,The Weekend - Radio Edit,Michael Gray,2aM5jpQ0WTcQDeHsil8Ihz,Analog Is On,https://i.scdn.co/image/ab67616d0000b2736901b4f4490faaf121cfb64c,2007-06-01,192173,False,2026-03-13 10:27:51+00:00
52hQY9AntPqOQM46N9BnfC,Amazing,INNA,2w9zwq3AktTeYYMuhMjju8,Hot,https://i.scdn.co/image/ab67616d0000b273497e791a71b496fa4ddbc363,2010,207330,False,2026-03-13 10:24:41+00:00
4A56h4B9xUuMMXoKuj18HT,Edge of Desire,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Edge of Desire,https://i.scdn.co/image/ab67616d0000b2736d69d34ade62de08bff530ca,2025-07-18,134905,False,2026-03-13 10:20:30+00:00
6kTwzV93qpcovlRPmBOXmn,World Hold On (Children Of The Sky) - FISHER Rework,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,World Hold On (Children Of The Sky) [FISHER Rework],https://i.scdn.co/image/ab67616d0000b273a03a119d2adb25e05b6042c3,2022-07-08,178304,False,2026-03-13 10:00:42+00:00
3HGwI9qwq5XqBDeZBV3zti,World Hold On (Children of the Sky) - Radio Edit,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,World Hold On (Children of the Sky) [Radio Edit],https://i.scdn.co/image/ab67616d0000b273b65ae9724ee6b6c05c3337ad,2006-06-06,199194,False,2026-03-13 10:00:40+00:00
32MxRYKOqicVeXAyHBoXjt,time,notdavid,1UTLhwkOmmidi7jpbQqaHF,time,https://i.scdn.co/image/ab67616d0000b273878064d6074768262f3994d6,2026-01-16,147750,False,2026-03-09 13:07:21+00:00
3qty6YJlbruRkWAsRxLmLD,FALL FROM THE SKY PT.2 - VIRAL SLOWED,RomancePlanet,37wN6xD9duyyxRWmObUUxE,FALL FROM THE SKY PT.2 (VIRAL SLOWED),https://i.scdn.co/image/ab67616d0000b2739820a82681673a793e1f3a8a,2025-07-08,121299,False,2026-03-09 12:48:31+00:00
31SF2unE1SZ51m4O11isG9,theclubrock,Benny Bellson,5d853eyaCknmc4SynWaoR6,theclubrock,https://i.scdn.co/image/ab67616d0000b27347ee9ddc42e3f0515f0b0a1c,2025-08-17,122188,False,2026-03-09 12:44:01+00:00
2qGvgsRsmrB0Y7Y4MmuP1M,We Do What We Want - Edit,Alan Fitzpatrick,40JyDxGqtYSowWYT2jaive,We Do What We Want (Edit),https://i.scdn.co/image/ab67616d0000b273eb7bbfd72d873abf08a0a980,2024-01-12,188095,False,2026-03-09 12:32:36+00:00
28DBPgLD7pUjGA561yzd8X,Neoperreo,Secret Society,2TruAj0dhlAVjzLZMFD6My,Neoperreo,https://i.scdn.co/image/ab67616d0000b2735909b2e743edb9f2f064999b,2025-02-24,121570,False,2026-03-09 12:30:57+00:00
3QCtbeEN9AfZFHIT35VllW,Act. 2 (AUTHENTIC $kY),SAGEISKAMI,6SGVSqPxYUYa885J3dtXQu,$iLENT HEAVEN,https://i.scdn.co/image/ab67616d0000b2731e71b91eb6d9795d9823583f,2021-09-14,192767,False,2026-02-27 20:58:10+00:00
3p2b3xlBgDULgAi6eVyJvZ,BIOS,Zorrovian,1aiuwZqLerDCVhfFImBWIq,BIOS,https://i.scdn.co/image/ab67616d0000b2733de720c62504f615c749c0ce,2024-04-15,312857,False,2026-02-27 20:51:55+00:00
4egwGq65exfjAIb1UKPGMw,Logic,Euology,3cmexxbeYMiLNj9VEmB451,Logic,https://i.scdn.co/image/ab67616d0000b27382a5fcf562d64870780dd7d2,2024-06-14,221538,False,2026-02-27 20:50:42+00:00
0WTpcTLD7OmW8EKyRWlaCO,will we be okay?,LÖVI,5Lr3MQJETTq3UnAjbx3n1R,will we be okay?,https://i.scdn.co/image/ab67616d0000b273e37efcc49af14e842f5e8c80,2025-10-20,199341,False,2026-02-27 20:48:50+00:00
