track_id,track_name,artist,artist_id,album,album_cover_url,duration_ms,rank
4MfDHmbJQNpeBp83uSlsSa,Me Muero,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,DON KBRN,https://i.scdn.co/image/ab67616d0000b273e83df08dc5b90b0909566bd4,195712,1
0e3agFHqBF53riVoI0KcHQ,toy joya,San Tosielo,1Vp0zKCF6r1aut8Emx7CHH,toy joya,https://i.scdn.co/image/ab67616d0000b273d55c4f7695611dbfb68199e0,208300,2
4hY6swYPVeFVKFaormmzez,Romeo y Julieta,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,DON KBRN,https://i.scdn.co/image/ab67616d0000b273e83df08dc5b90b0909566bd4,206946,3
3vfq1ovR6oBGJPvoy4Oy1B,TE VI EN MIS PESADILLAS,Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,SAYONARA,https://i.scdn.co/image/ab67616d0000b273af1e2e143561cf4df9941f5b,156506,4
2GLuySrwHVBonaxKvbZ3jw,"Burgher, Commoner and Lord",Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,98979,5
4lH6nENd1y81jp7Yt9lTBX,Solo,Future,1RyvyyTE3xzB2ZywiAwp0i,HNDRXX,https://i.scdn.co/image/ab67616d0000b2737567ec7d3c07783e4f2111e0,265996,6
4uulymZhmebsjKedRaJ1gQ,malibU,rusowsky,1XEVu7gdRFfzEFqsPrancH,DAISY,https://i.scdn.co/image/ab67616d0000b273dc9c43138a621ee63a7bc863,215250,7
2SPBFiD8iITb8CKJGz1TEQ,111,Yan Block,6TKygPpVT29oGUogu4J9Ec,111,https://i.scdn.co/image/ab67616d0000b27383ef0552896ff6e817754c74,153750,8
6ElgZVbXp3jGMenK7i3lLy,Throwback2020,Choclock,1Ixof0imwzqpuV21Ug9pKn,Daltónico Pero Me Siento Azul,https://i.scdn.co/image/ab67616d0000b27389f1e262cbcc4d28278861c9,157064,9
18ngz35nTD4rzldysVtN4o,DURO,Quevedo,52iwsT98xCoGgiGntTiR7K,BUENAS NOCHES,https://i.scdn.co/image/ab67616d0000b2734b690afba75a356fcdad526e,162204,10
2j2l6IIivEaYDNnsVEpgsq,Chulx,Lia Kali,7rFHoDuiSlV0DGHxckjm89,Kaelis,https://i.scdn.co/image/ab67616d0000b273d497e6e8266d3e8dda0d4495,187421,11
4JHg4nNYUJQ5HULcCmI18R,What You Know,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Tourist History,https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc,189693,12
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,3TVXtAsR1Inumwj472S9r4,$ome $exy $ongs 4 U,https://i.scdn.co/image/ab67616d0000b273b5a28a256eae6dc0424fef59,241023,13
6lcStESNJcxOnwUHIC7phJ,OTRA NOCHE SIN DORMIR,Mora,0Q8NcsJwoCbZOHHW63su5S,LO MISMO DE SIEMPRE,https://i.scdn.co/image/ab67616d0000b2734cbf1f88953e2f87db81f9bd,177226,14
6w1eQ7AxYB8Y6YQGJR9jBT,QUÉ QUIERES DE MI? (feat. Eladio Carrion),Myke Towers,7iK8PXO48WeuP03g8YR51W,LYKE MIIKE,https://i.scdn.co/image/ab67616d0000b273b072a33b67d3ae47abc1e994,254517,15
5o8MYMv2u3SjbH5pfa6ZRx,Nine Blades,Borislav Slavov,7Fl4F5eJRtPMEl3jTYMUQt,Baldur's Gate 3 (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b2736842c99f481b8560a7db0b35,289508,16
2xuorrVBLi7659Qa93jwh9,CONFÍO DE +,mvrk,6WCTfR8dIuTqWrFrzt2yl0,PÓRTATE BIEN!,https://i.scdn.co/image/ab67616d0000b273c007d1483cfe9452be8f7f9a,163086,17
2mDFvZaw1bPQSFXtSTB6Zl,electric bby,rusowsky,1XEVu7gdRFfzEFqsPrancH,electric bby,https://i.scdn.co/image/ab67616d0000b273eda831592e8c46050289cc99,186818,18
4DOWOEtjpnmPaBIr5aoj56,brujita,rusowsky,1XEVu7gdRFfzEFqsPrancH,BABAYAGA,https://i.scdn.co/image/ab67616d0000b27384a433fce4aa8a1b868c22d7,159732,19
28DBPgLD7pUjGA561yzd8X,Neoperreo,Secret Society,2TruAj0dhlAVjzLZMFD6My,Neoperreo,https://i.scdn.co/image/ab67616d0000b2735909b2e743edb9f2f064999b,121570,20
5SWI7JbAwfTPgs0cuorR7H,Further,Brian Tyler,109FvbnDVNag1UcJDVpFlr,Far Cry 3 (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b273f42f5fa47050322fa6d1eb9e,244187,21
3TDIIZjduqsItwVIp6t4Aa,SUPERNOVA,Ralphie Choo,5qjnPRE33rMgYAxIjGUrI7,SUPERNOVA,https://i.scdn.co/image/ab67616d0000b273bba287cbfe8a1ac183919ca8,164150,22
4HnuPc5Cng3tbwunyqSMNi,Espectacular,Sky Rompiendo,51XrH5fQP2oIQynuKxSWcW,Espectacular,https://i.scdn.co/image/ab67616d0000b2731bad2678e607d6f373f112dc,185739,23
4c2Pc0NrfkesPR0jff6q3F,KETU TeCRÉ,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,250789,24
2OGXuOaxAEjSen6gz3w2lB,ALTAGAMA,rusowsky,1XEVu7gdRFfzEFqsPrancH,ALTAGAMA,https://i.scdn.co/image/ab67616d0000b273c435bb410bbb4fd3987c3eb6,150360,25
5Oo9D3xJJ2sF6HWiJweV0V,NOEMÚ,Quevedo,52iwsT98xCoGgiGntTiR7K,BUENAS NOCHES,https://i.scdn.co/image/ab67616d0000b2734b690afba75a356fcdad526e,206910,26
