track_id,track_name,artist,artist_id,album,album_cover_url,duration_ms,rank
2GLuySrwHVBonaxKvbZ3jw,"Burgher, Commoner and Lord",Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,98979,1
6cwcAyBhAbKrfxFqwjVvym,"Fistcuffs, then Gallop",Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,126466,2
3jHDoarqvvcmhVENcxnpYk,Pastoral,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,145000,3
50aJSsTHwLsHqiKyRgXFkZ,Nebakov March,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,90000,4
62Xuors2wq4wTWu2qR9LLJ,Nuptials,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,148500,5
12MgTWB1HdVOibWBXj7NW8,Saint Barbara Theme,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,148000,6
6yV3akSoxxh006bFLHPfVW,#voyuitwaaien - SUPER slowed -pitch,latex fruit,0z4JJQNc7OeNno0DR6uG4i,#voyuitwaaien Remixes,https://i.scdn.co/image/ab67616d0000b2737afc09e7873c32344780a23a,114091,7
5o8MYMv2u3SjbH5pfa6ZRx,Nine Blades,Borislav Slavov,7Fl4F5eJRtPMEl3jTYMUQt,Baldur's Gate 3 (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b2736842c99f481b8560a7db0b35,289508,8
6uZm4IvkJPbETKFOjRhr1c,I Want Things to Be Beautiful,Devi McCallion,6i1PYODUPDYMtaK8QCGE9I,I Want Things to Be Beautiful,https://i.scdn.co/image/ab67616d0000b273653d899366e0490989d0d131,106860,9
7GfrQwyz5HyGoBqlBm5HXI,The Hole in the Wall,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,108000,10
